ID,Time,Temperature,Pressure,Humidity,Altitude
2,9900,"52.91",859.822,9.093,4233.933
2,9901,"52.91",859.797,9.093,4235.181
2,9902,"52.91",859.79,9.104,4235.575
2,9902,"52.91",859.83,9.093,4233.225
2,9903,"52.91",859.797,9.104,4235.181
2,9904,"52.91",859.797,9.104,4235.181
2,9905,"52.91",859.75,9.093,4237.931
2,9907,"52.92",859.844,9.104,4232.419
2,9911,"52.92",859.8,9.114,4234.98
2,9911,"52.92",859.804,9.104,4234.777
2,9912,"52.91",859.768,9.104,4236.88
2,9913,"52.92",859.792,9.104,4235.424
2,9913,"52.92",859.792,9.104,4235.424
2,9914,"52.92",859.8,9.104,4234.98
2,9915,"52.91",858.667,9.093,4301.105
2,9916,"52.86",849.391,9.026,4826.296
2,9918,"52.83",816.444,8.733,6496.112
2,9918,"52.84",801.115,8.57,7189.675
2,9919,"52.85",787.341,8.419,7776.826
2,9921,"52.88",748.118,7.877,9298.374
2,9922,"52.89",725.878,7.573,10082.047
2,9924,"52.89",694.657,7.204,11107.716
2,9925,"52.9",677.933,7.03,11627.42
2,9926,"52.9",662.146,6.89,12101.871
2,9929,"52.92",635.504,6.694,12871.795
2,9930,"52.92",625.283,6.618,13158.196
2,9931,"52.92",615.745,6.586,13421.427
2,9934,"52.94",595.547,6.521,13967.316
2,9935,"52.95",590.791,6.51,14093.755
2,9936,"52.95",589.008,6.51,14140.99
2,9937,"52.95",588.789,6.51,14146.775
2,9938,"52.96",585.693,6.554,14228.5
2,9939,"52.83",583.816,3.131,14277.89
2,9939,"52.83",583.816,3.131,14277.89
2,9940,"52.36",582.919,0,14301.443
2,9940,"52.36",582.919,0,14301.443
2,9941,"52.2",582.945,0,14300.774
2,9942,"52.2",583.581,0,14284.062
2,9943,"51.35",585.434,0,14235.312
2,9945,"51.14",587.626,0,14177.495
2,9946,"50.92",589.283,0,14133.7
2,9947,"49.77",594.305,0,14000.427
2,9955,"49.83",596.654,0,13937.766
2,9956,"48.76",602.858,0,13771.436
2,9957,"48.52",603.93,0,13742.569
2,9958,"48.26",605.029,0,13712.921
2,9959,"47.98",606.166,0,13682.174
2,9960,"47.98",606.322,0,13677.971
2,9961,"47.81",607.33,0,13650.695
2,9961,"47.65",608.65,0,13614.904
2,9963,"47.37",609.181,0,13600.476
2,9963,"47.04",610.419,0,13566.849
2,9964,"47.15",611.061,0,13549.359
2,9965,"47.28",611.695,0,13532.502
2,9966,"47.28",612.317,0,13515.139
2,9966,"46.8",613.55,0,13481.486
2,9967,"46.8",613.55,0,13481.486
2,9968,"46.84",613.993,0,13469.393
2,9969,"46.45",615.393,0,13431.069
